projectId	bugNumer	date	login	assignmentType	eventId	commitSHA
8514	1992	2011-07-09T00:44:31.000Z	spastorino	1	1685281	d9182c0ae9494ad1181678644cbe1c5974e1069c	
8514	1366	2011-07-11T02:21:44.000Z	sikachu	1	1710655	75cfd037cbec11ef3f47d8b750ae1a67412b7580	
8514	1922	2011-07-11T11:20:48.000Z	josevalim	1	1711721	871d7fad03b2c74edc8b853b9c350aa9f9d24a3d	
460078	464	2011-07-11T19:55:29.000Z	mhevery	1	2022280	c348f2cad6e2db0c3a37108eb34c8d62f2b7c718	
8514	1471	2011-07-11T23:04:01.000Z	jonleighton	1	1727257	1712d90050bd4b32a9ee93548b5eef05a69491f7	
8514	2059	2011-07-14T02:17:38.000Z	elight	1	1791712	f13dea8a3463b753a69c22fc27648160c013fc3b	
460078	448	2011-07-14T20:27:39.000Z	mhevery	1	2022281	7802c90e139a36d37b9d3c8cd6b6fcfee042dd71	
460078	463	2011-07-14T20:54:34.000Z	mhevery	1	2022282	3237f8b9950ab0dbf3c80f6bef40217ea7cf96ae	
8514	2094	2011-07-15T22:22:31.000Z	dgeb	1	1821067	c6d83ab741456303784305b0a457512e4682f97f	
8514	2110	2011-07-17T06:47:21.000Z	guilleiguaran	1	1853687	fcdcc87a0890158046a2358f0a668a5157c38b3d	
8514	1937	2011-07-17T23:22:12.000Z	jonleighton	1	1841471	fcbde454f673a2b393942b09f855a4febcf331fa	
8514	2106	2011-07-19T15:32:16.000Z	franckverrot	1	1918631	8bc314b3b7dca6d3c796760ace1bb9c1d4cadf53	
8514	2119	2011-07-19T20:05:16.000Z	ogeidix	1	1886319	1ac802fe3c79fc2838253e71e4f32e3f1710f8f1	
8514	2162	2011-07-20T17:44:36.000Z	tenderlove	1	1914250	09a488456aecf2b4ef7f200546b281cabda56e2f	
8514	2074	2011-07-21T08:36:02.000Z	hmcfletch	1	1974296	f956759f8ab656484add2d5bc6e8f6f4add79469	
8514	2169	2011-07-21T20:49:36.000Z	tenderlove	1	1938495	bb7e35531e181439ff4a454296a78a00fe1e8723	
8514	2126	2011-07-21T22:30:28.000Z	tenderlove	1	1938496	5b6121aa3428f4fc0f12fd797abde143b97650fb	
8514	713	2011-07-23T07:50:10.000Z	arunagw	1	1965673	7d9cf9a8463c21e115f3bd9509fa1c180a5512bf	
8514	1374	2011-07-23T12:15:00.000Z	fxn	1	1967165	4d8aaff4ea7334ff3f88bedec8147904846f435e	
8514	713	2011-07-23T14:06:14.000Z	spastorino	1	1967922	7e4cedf5345226aab2c5731e3c51579167baeb5a	
8514	2199	2011-07-23T23:32:14.000Z	dmathieu	1	1972438	bb3b3e306252129f24e69eede9793cfc131c766e	
8514	2107	2011-07-26T02:02:12.000Z	spastorino	1	2007816	36ab1cd293f3dfaa60897e2751fef4f68f1b91d8	
8514	1697	2011-07-27T17:17:25.000Z	smasry	1	2048466	18d307ed94ee9a8cd2dca117597f9e6afd1b6faa	
8514	1592	2011-07-29T19:23:37.000Z	tenderlove	1	2102958	3d6e1872550f284dd387ffc87a984a9036376062	
8514	1936	2011-07-29T21:38:57.000Z	tenderlove	1	2105125	ea7f50863d3a1e58a28921b15da3927ad7d18f4a	
8514	2355	2011-07-30T00:43:05.000Z	waynn	1	2208141	54b83566ccb55ae4a9bdb163a6224fa946814457	
8514	2346	2011-07-31T12:38:38.000Z	bradediger	1	2121708	7f885390876a3acdfa962e42b2bf2c73241e8702	
8514	2368	2011-07-31T16:09:10.000Z	vijaydev	1	2122775	040f65b0913793bd6f2f03500e6e6a50b83f3e56	
