projectId	bugNumer	date	login	assignmentType	eventId	commitSHA
8514	3425	2011-11-03T13:33:21.000Z	arunagw	2	4989863	71bc921ec8ac89840077bb54752282a3d89429f6	
8514	3271	2011-11-03T16:23:29.000Z	brunoadacosta	2	4997680	d486103570bf680307ba474915efc01862e99403	
460078	648	2011-11-15T04:38:32.000Z	mhevery	2	5420203	5279de0e70e4f7c9c9607691c34b79d8c675695a	
8514	3644	2011-11-16T23:19:12.000Z	lazyatom	2	5516442	3a6a10a36d9fdcc6de0f2a8e81c73001c1331072	
8514	3672	2011-11-19T15:48:33.000Z	andhapp	2	5623580	fec85cf10d831ab90386a549ea558b0dd58a813f	
8514	3685	2011-11-19T15:48:33.000Z	andhapp	2	5623578	603a679e87d0317957eb44ce3928d593a0c50bb5	
8514	3890	2011-12-08T23:12:16.000Z	andhapp	2	6491164	5da90b34831a0f941b36edbede9089c54432ad6b	
8514	3353	2011-12-11T20:47:07.000Z	azimux	2	6577661	658bb4fa25db0b3f61bfb64028274f2365cad506	
8514	3672	2011-12-14T20:21:05.000Z	lest	2	6741378	889e8bee82ea4f75adb6de5badad512d2c615b7f	
8514	3987	2011-12-15T15:24:09.000Z	sweed	2	6782954	8dba32f125cc0b79fe453f38b1044c7bf9fb52ce	
8514	4067	2011-12-20T19:01:19.000Z	arunagw	2	6994015	7b32677ca0cac42ceafdcf294b95e1e875a99adb	
8514	4136	2011-12-23T02:21:22.000Z	jsleetw	2	7111597	4ee537a8a21ecab2a4d0c8e6a6730a72a7937428	
8514	4138	2011-12-23T02:21:22.000Z	jsleetw	2	7111599	ead2593a54223498647555171e930f9cbe08759c	
8514	4046	2011-12-23T18:38:40.000Z	karunakar	2	7133482	f1eb98f0fcca49c3f26a905a5c7b656ea22269d1	
8514	4126	2011-12-23T21:46:35.000Z	nashby	2	7138516	08f36451fc207c221169560238b539ae55c2d9e8	
460078	693	2012-01-06T20:19:48.000Z	igorminar	2	7558433	08029c7b72a857ffe52f302ed79ae12db9efcc08	
460078	702	2012-01-11T06:27:11.000Z	mhevery	2	7738609	614fd3d55a0d141067c7cd744a29787b1f93b008	
8514	4441	2012-01-14T02:04:53.000Z	arunagw	2	7901792	29fdd8c7779ec2ba74cfb742e8fcef47bfae6c09	
8514	4461	2012-01-16T17:32:55.000Z	martinploeger	2	7977105	04a05e58995b3c7c2949fbbd31a2cb669b8edc87	
8514	950	2012-01-17T00:45:32.000Z	mdespuits	2	8000103	a2dab46cae35a06fd5c5500037177492a047c252	
