 	 	project:	ALL	ALL	#ofBugs:	93016	#ofCommunityMembers:	75 - 4079						project:	adobe/brackets	2935735	#ofAssignments:	10462	#ofCommunityMembers:	864					project:	angular/angular.js	460078	#ofAssignments:	9658	#ofCommunityMembers:	2386					project:	elastic/elasticsearch	507775	#ofAssignments:	16184	#ofCommunityMembers:	1262					project:	fog/fog	203666	#ofAssignments:	1327	#ofCommunityMembers:	770					project:	html5rocks/www.html5rocks.com	5238231	#ofAssignments:	998	#ofCommunityMembers:	159					project:	julialang/julia	1644196	#ofAssignments:	12748	#ofCommunityMembers:	831					project:	khan/khan-exercises	1723225	#ofAssignments:	857	#ofCommunityMembers:	206					project:	lift/framework	1295197	#ofAssignments:	566	#ofCommunityMembers:	75					project:	rails/rails	8514	#ofAssignments:	11305	#ofCommunityMembers:	4079					project:	saltstack/salt	1390248	#ofAssignments:	15533	#ofCommunityMembers:	2283					project:	travis-ci/travis-ci	1420493	#ofAssignments:	6334	#ofCommunityMembers:	1159					project:	tryghost/ghost	9852918	#ofAssignments:	6142	#ofCommunityMembers:	473					project:	yui/yui3	85670	#ofAssignments:	902	#ofCommunityMembers:	175				
Experiment title	TIME	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	Any comments for the experiment	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10	MRR	MAP	Top 1	Top 5	Top 10	p@1	r@1	p@5	r@5	p@10	r@10
Original cases (just using bug information):																																																																																																																																																												
188- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_c[0.3] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_202828	142.1Sec	0.60121	57.81898	46.17183	78.97725	85.65568	46.17183	41.14289	17.50704	76.04422	9.70376	83.85163	-	0.62765	60.8949	47.93953	83.06068	88.71402	47.93953	43.71074	18.17975	80.59899	9.93684	87.40681	0.57862	55.19119	44.66165	75.48872	83.0429	44.66165	38.94914	16.93233	72.15303	9.50464	80.81439																																																																																																																									
189- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_c[0.4] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_203052	136Sec	0.60119	57.81239	46.16706	78.97725	85.65091	46.16706	41.13255	17.50608	76.04184	9.70376	83.84924	-	0.62769	60.89092	47.93953	83.06068	88.72437	47.93953	43.69866	18.17768	80.59381	9.93788	87.41717	0.57855	55.18235	44.65281	75.48872	83.02521	44.65281	38.94029	16.93233	72.15303	9.50376	80.80112																																																																																																																									
190- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_c[0.5] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_203309	133.3Sec	0.60111	57.80401	46.16229	78.97248	85.65091	46.16229	41.12778	17.50513	76.03229	9.70329	83.84686	-	0.62762	60.88142	47.92918	83.05032	88.73473	47.92918	43.68831	18.17561	80.57828	9.93891	87.42752	0.57846	55.17494	44.65281	75.48872	83.01636	44.65281	38.94029	16.93233	72.14861	9.50199	80.78785																																																																																																																									
191- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_c[0.6] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_203523	147.7Sec	0.60111	57.80156	46.17183	78.95339	85.65091	46.17183	41.13494	17.4994	76.01162	9.70233	83.84209	-	0.62746	60.86534	47.90847	83.03997	88.74508	47.90847	43.6676	18.17146	80.56275	9.93891	87.4327	0.57859	55.18414	44.68819	75.46218	83.00752	44.68819	38.97125	16.92525	72.12354	9.50022	80.77458																																																																																																																									
192- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_c[0.7] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_203752	147.1Sec	0.60109	57.80092	46.1766	78.92	85.6366	46.1766	41.14289	17.49082	75.97426	9.7009	83.82658	-	0.6275	60.87291	47.92918	82.9882	88.73473	47.92918	43.69521	18.15904	80.5058	9.93788	87.42234	0.57853	55.17648	44.67935	75.44449	82.98983	44.67935	38.96241	16.91995	72.1029	9.49845	80.75468																																																																																																																									
193- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_c[0.8] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_204020	143.1Sec	0.60107	57.79952	46.18137	78.90569	85.61752	46.18137	41.15004	17.48795	75.95995	9.69756	83.80353	-	0.62724	60.85055	47.89812	82.97784	88.70367	47.89812	43.66932	18.15697	80.49544	9.93373	87.39128	0.5787	55.19298	44.71473	75.4268	82.98098	44.71473	38.99779	16.91641	72.08521	9.4958	80.73846																																																																																																																									
194- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_c[0.9] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_204245	130.6Sec	0.60098	57.79166	46.16706	78.89138	85.59844	46.16706	41.13812	17.48605	75.94802	9.6947	83.77968	-	0.62719	60.84708	47.88776	82.97784	88.69331	47.88776	43.66415	18.15697	80.49544	9.93166	87.37575	0.57859	55.18137	44.69704	75.40027	82.95444	44.69704	38.9801	16.91287	72.0631	9.49226	80.7075																																																																																																																									
195- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_c[1.0] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_204456	131.4Sec	0.60108	57.79836	46.19568	78.87707	85.59367	46.19568	41.16435	17.48128	75.92973	9.69422	83.7749	-	0.6273	60.85305	47.90847	82.97784	88.69331	47.90847	43.67968	18.1549	80.49199	9.93166	87.37575	0.57869	55.18869	44.73242	75.37373	82.9456	44.73242	39.01548	16.90579	72.03214	9.49138	80.69866																																																																																																																									
"c=0, now check p:"																																																																																																																																																												
196- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_p[0.1] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_205005	159.2Sec	0.60136	57.83803	46.20045	78.96771	85.65091	46.20045	41.17151	17.50704	76.03866	9.70472	83.85401	-	0.62789	60.92058	47.98095	83.03997	88.70367	47.98095	43.75216	18.17561	80.57828	9.93684	87.40164	0.57869	55.20458	44.67935	75.48872	83.0429	44.67935	38.96683	16.93587	72.1604	9.50641	80.82323																																																																																																																									
197- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_p[0.2] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_205247	157.4Sec	0.60136	57.83849	46.20045	78.97248	85.65568	46.20045	41.17151	17.50704	76.04104	9.70424	83.85401	-	0.62789	60.9205	47.98095	83.03997	88.71402	47.98095	43.75216	18.17561	80.57828	9.93684	87.40681	0.5787	55.2055	44.67935	75.49757	83.0429	44.67935	38.96683	16.93587	72.16482	9.50553	80.81881																																																																																																																									
198- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_p[0.3] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_205526	153.8Sec	0.6013	57.8322	46.19091	78.97248	85.65091	46.19091	41.16197	17.50704	76.04104	9.70424	83.85163	-	0.62778	60.9096	47.96024	83.05032	88.71402	47.96024	43.73145	18.17768	80.58863	9.93684	87.40681	0.57868	55.20314	44.67935	75.48872	83.03406	44.67935	38.96683	16.9341	72.15598	9.50553	80.81439																																																																																																																									
199- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_p[0.4] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_205801	144.4Sec	0.60129	57.82996	46.18137	78.97725	85.65568	46.18137	41.15243	17.50799	76.04581	9.70472	83.8564	-	0.62782	60.91306	47.96024	83.06068	88.72437	47.96024	43.73145	18.17975	80.59899	9.93788	87.41717	0.57862	55.19604	44.66165	75.48872	83.03406	44.66165	38.94914	16.9341	72.15598	9.50553	80.81439																																																																																																																									
200- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_p[0.5] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_210026	147.3Sec	0.60126	57.82669	46.1766	78.97248	85.65568	46.1766	41.14766	17.50799	76.04343	9.70424	83.85481	-	0.62779	60.90991	47.94989	83.05032	88.72437	47.94989	43.72109	18.17975	80.59381	9.93788	87.41717	0.5786	55.19267	44.66165	75.48872	83.03406	44.66165	38.94914	16.9341	72.15598	9.50464	80.81144																																																																																																																									
201- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_p[0.6] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_210255	145.1Sec	0.60122	57.82254	46.17183	78.97248	85.65091	46.17183	41.14289	17.50799	76.04343	9.70329	83.84765	-	0.62774	60.90546	47.94989	83.03997	88.72437	47.94989	43.72109	18.17768	80.58345	9.93788	87.41717	0.57857	55.18875	44.65281	75.49757	83.02521	44.65281	38.94029	16.93587	72.16482	9.50287	80.79817																																																																																																																									
202- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_p[0.7] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_210521	147.9Sec	0.60118	57.81754	46.16706	78.95816	85.64614	46.16706	41.13812	17.50513	76.02911	9.70281	83.84527	-	0.62773	60.90333	47.94989	83.02961	88.71402	47.94989	43.72109	18.17561	80.5731	9.93684	87.41199	0.5785	55.18131	44.64396	75.47988	83.02521	44.64396	38.93145	16.93233	72.14713	9.50287	80.79817																																																																																																																									
203- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_p[0.8] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_210750	146.2Sec	0.60118	57.81847	46.16706	78.96293	85.64137	46.16706	41.1413	17.50513	76.02911	9.70233	83.8405	-	0.62767	60.90046	47.93953	83.02961	88.71402	47.93953	43.71764	18.17561	80.5731	9.93684	87.41199	0.57855	55.18548	44.65281	75.48872	83.01636	44.65281	38.94029	16.93233	72.14713	9.50199	80.78933																																																																																																																									
204- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_p[0.9] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_211018	143.1Sec	0.60115	57.81534	46.16229	78.95816	85.64137	46.16229	41.13653	17.50417	76.02434	9.70186	83.83811	-	0.62765	60.89811	47.93953	83.01926	88.71402	47.93953	43.71764	18.17353	80.56275	9.93684	87.41199	0.57851	55.1817	44.64396	75.48872	83.01636	44.64396	38.93145	16.93233	72.14713	9.50111	80.7849																																																																																																																									
205- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_p[1.0] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_211242	146.6Sec	0.60115	57.81476	46.16229	78.94862	85.63183	46.16229	41.13653	17.50227	76.0148	9.7009	83.82857	-	0.6277	60.90343	47.94989	83.0089	88.71402	47.94989	43.728	18.17146	80.55239	9.93684	87.41199	0.57847	55.17608	44.63512	75.47988	82.99867	44.63512	38.9226	16.93056	72.13829	9.49934	80.76721																																																																																																																									
"c=0, now check pC:"																																																																																																																																																												
206- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_pC[0.1] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_211704	155.5Sec	0.60137	57.83833	46.20045	78.96771	85.65091	46.20045	41.16912	17.50704	76.03866	9.70424	83.85163	-	0.6279	60.91886	47.98095	83.05032	88.70367	47.98095	43.74698	18.17768	80.58863	9.9358	87.39646	0.57871	55.20659	44.67935	75.47988	83.0429	44.67935	38.96683	16.9341	72.15156	9.50641	80.82323																																																																																																																									
207- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_pC[0.2] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_211941	155.3Sec	0.60136	57.8373	46.20045	78.96771	85.65091	46.20045	41.16912	17.50704	76.03866	9.70424	83.85163	-	0.6279	60.91844	47.98095	83.05032	88.70367	47.98095	43.74698	18.17768	80.58863	9.9358	87.39646	0.57869	55.20504	44.67935	75.47988	83.0429	44.67935	38.96683	16.9341	72.15156	9.50641	80.82323																																																																																																																									
208- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_pC[0.3] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_212218	144.6Sec	0.60136	57.83756	46.20045	78.96771	85.65091	46.20045	41.16912	17.50704	76.03866	9.70424	83.85163	-	0.6279	60.91891	47.98095	83.05032	88.70367	47.98095	43.74698	18.17768	80.58863	9.9358	87.39646	0.57869	55.20513	44.67935	75.47988	83.0429	44.67935	38.96683	16.9341	72.15156	9.50641	80.82323																																																																																																																									
209- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_pC[0.4] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_212444	142.8Sec	0.60137	57.8382	46.20045	78.96771	85.65091	46.20045	41.16912	17.50704	76.03866	9.70424	83.85163	-	0.6279	60.91865	47.98095	83.05032	88.70367	47.98095	43.74698	18.17768	80.58863	9.9358	87.39646	0.57871	55.20653	44.67935	75.47988	83.0429	44.67935	38.96683	16.9341	72.15156	9.50641	80.82323																																																																																																																									
210- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_pC[0.5] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_212708	143.5Sec	0.60136	57.83728	46.20045	78.96771	85.65091	46.20045	41.16912	17.50704	76.03866	9.70424	83.85163	-	0.6279	60.91835	47.98095	83.05032	88.70367	47.98095	43.74698	18.17768	80.58863	9.9358	87.39646	0.57869	55.20509	44.67935	75.47988	83.0429	44.67935	38.96683	16.9341	72.15156	9.50641	80.82323																																																																																																																									
211- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_pC[0.6] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_212933	142Sec	0.60136	57.83748	46.20045	78.96771	85.65091	46.20045	41.16912	17.50704	76.03866	9.70424	83.85163	-	0.6279	60.9187	47.98095	83.05032	88.70367	47.98095	43.74698	18.17768	80.58863	9.9358	87.39646	0.57869	55.20515	44.67935	75.47988	83.0429	44.67935	38.96683	16.9341	72.15156	9.50641	80.82323																																																																																																																									
212- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_pC[0.7] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_213156	142.7Sec	0.60137	57.83805	46.20045	78.96771	85.65091	46.20045	41.16912	17.50704	76.03866	9.70424	83.85163	-	0.6279	60.91828	47.98095	83.05032	88.70367	47.98095	43.74698	18.17768	80.58863	9.9358	87.39646	0.57871	55.20656	44.67935	75.47988	83.0429	44.67935	38.96683	16.9341	72.15156	9.50641	80.82323																																																																																																																									
213- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_pC[0.8] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_213420	142.1Sec	0.60137	57.83812	46.20045	78.96771	85.65091	46.20045	41.16912	17.50704	76.03866	9.70424	83.85163	-	0.6279	60.91839	47.98095	83.05032	88.70367	47.98095	43.74698	18.17768	80.58863	9.9358	87.39646	0.57871	55.20661	44.67935	75.47988	83.0429	44.67935	38.96683	16.9341	72.15156	9.50641	80.82323																																																																																																																									
214- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_pC[0.9] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_213643	141.6Sec	0.60136	57.83731	46.20045	78.96771	85.65091	46.20045	41.16912	17.50704	76.03866	9.70424	83.85163	-	0.6279	60.91838	47.98095	83.05032	88.70367	47.98095	43.74698	18.17768	80.58863	9.9358	87.39646	0.57869	55.20511	44.67935	75.47988	83.0429	44.67935	38.96683	16.9341	72.15156	9.50641	80.82323																																																																																																																									
215- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_pC[1.0] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_213906	142.8Sec	0.60137	57.83807	46.20045	78.96771	85.65091	46.20045	41.16912	17.50704	76.03866	9.70424	83.85163	-	0.6279	60.91832	47.98095	83.05032	88.70367	47.98095	43.74698	18.17768	80.58863	9.9358	87.39646	0.57871	55.20658	44.67935	75.47988	83.0429	44.67935	38.96683	16.9341	72.15156	9.50641	80.82323																																																																																																																									
"pC=0.1, now check cC:"																																																																																																																																																												
216- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_cC[0.1] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_224021	158.7Sec	0.60136	57.83685	46.20045	78.96771	85.65091	46.20045	41.16912	17.50704	76.03866	9.70472	83.85401	-	0.62786	60.91526	47.98095	83.05032	88.70367	47.98095	43.74698	18.17768	80.58863	9.93684	87.40164	0.57872	55.20692	44.67935	75.47988	83.0429	44.67935	38.96683	16.9341	72.15156	9.50641	80.82323																																																																																																																									
217- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_cC[0.2] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_224302	154Sec	0.60136	57.83583	46.20045	78.97725	85.66045	46.20045	41.16912	17.50799	76.04581	9.70567	83.86355	-	0.62786	60.91514	47.98095	83.05032	88.70367	47.98095	43.74698	18.17768	80.58863	9.93684	87.40164	0.57871	55.20514	44.67935	75.49757	83.06059	44.67935	38.96683	16.93587	72.16482	9.50818	80.84093																																																																																																																									
218- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_cC[0.3] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_224537	141.9Sec	0.60138	57.83789	46.20522	78.97725	85.65568	46.20522	41.17389	17.50799	76.04581	9.70519	83.85878	-	0.62791	60.91941	47.9913	83.03997	88.70367	47.9913	43.75733	18.17561	80.57828	9.93684	87.40164	0.57871	55.2053	44.67935	75.50641	83.05175	44.67935	38.96683	16.93764	72.17367	9.5073	80.83208																																																																																																																									
219- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_cC[0.4] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_224800	142.8Sec	0.60133	57.83367	46.19568	78.97248	85.66045	46.19568	41.16753	17.50704	76.04104	9.70567	83.86355	-	0.62779	60.91132	47.97059	83.03997	88.70367	47.97059	43.74353	18.17561	80.57828	9.93684	87.40164	0.57872	55.2044	44.67935	75.49757	83.06059	44.67935	38.96683	16.93587	72.16482	9.50818	80.84093																																																																																																																									
220- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_cC[0.5] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_225024	146.6Sec	0.60128	57.82835	46.19091	78.97248	85.66522	46.19091	41.16276	17.50704	76.04104	9.70615	83.86832	-	0.62771	60.90263	47.96024	83.03997	88.70367	47.96024	43.73317	18.17561	80.57828	9.93684	87.40164	0.5787	55.20196	44.67935	75.49757	83.06944	44.67935	38.96683	16.93587	72.16482	9.50907	80.84977																																																																																																																									
221- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_cC[0.6] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_225252	150.3Sec	0.6013	57.83068	46.19568	78.97248	85.66522	46.19568	41.16753	17.50704	76.04104	9.70615	83.86832	-	0.6277	60.90168	47.96024	83.03997	88.70367	47.96024	43.73317	18.17561	80.57828	9.93684	87.40164	0.57875	55.20708	44.68819	75.49757	83.06944	44.68819	38.97567	16.93587	72.16482	9.50907	80.84977																																																																																																																									
222- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_cC[0.7] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_225523	146.7Sec	0.6013	57.83001	46.19091	78.96771	85.66522	46.19091	41.16276	17.50608	76.03627	9.70615	83.86832	-	0.62771	60.90281	47.96024	83.03997	88.70367	47.96024	43.73317	18.17561	80.57828	9.93684	87.40164	0.57873	55.20488	44.67935	75.48872	83.06944	44.67935	38.96683	16.9341	72.15598	9.50907	80.84977																																																																																																																									
223- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_cC[0.8] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_225751	164.3Sec	0.6013	57.82961	46.19568	78.95816	85.66999	46.19568	41.16753	17.50417	76.02911	9.70663	83.87309	-	0.62768	60.89975	47.96024	83.02961	88.70367	47.96024	43.73317	18.17353	80.56792	9.93684	87.40164	0.57876	55.20675	44.68819	75.47988	83.07828	44.68819	38.97567	16.93233	72.15156	9.50995	80.85862																																																																																																																									
224- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_cC[0.9] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_230037	143.5Sec	0.60131	57.8302	46.20045	78.96771	85.66999	46.20045	41.1723	17.50513	76.03627	9.70663	83.87309	-	0.62771	60.90277	47.97059	83.02961	88.70367	47.97059	43.74353	18.17353	80.56792	9.93684	87.40164	0.57874	55.20527	44.68819	75.49757	83.07828	44.68819	38.97567	16.9341	72.16482	9.50995	80.85862																																																																																																																									
225- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_cC[1.0] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_230301	147.2Sec	0.60137	57.83625	46.20999	78.97248	85.66999	46.20999	41.17946	17.50608	76.04104	9.70663	83.87309	-	0.62784	60.91353	47.9913	83.02961	88.70367	47.9913	43.75906	18.17353	80.56792	9.93684	87.40164	0.57876	55.20729	44.68819	75.50641	83.07828	44.68819	38.97567	16.93587	72.17367	9.50995	80.85862																																																																																																																									
cC=0																																																																																																																																																												
"Now check the bC, p and pC (in order, one at a time added to the other ones):"																																																																																																																																																												
bC + p (different weights):																																																																																																																																																												
226- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_p[0.1]+mp_bC[0.1] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_230927	161.4Sec	0.60138	57.83724	46.20999	78.96293	85.66045	46.20999	41.18343	17.50704	76.03389	9.70281	83.84924	-	0.62775	60.90764	47.97059	83.01926	88.70367	47.97059	43.74698	18.17353	80.55757	9.9327	87.38093	0.57885	55.21415	44.70588	75.49757	83.06059	44.70588	38.99337	16.93764	72.16925	9.50641	80.83208																																																																																																																									
227- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_p[0.2]+mp_bC[0.1] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_231211	157.8Sec	0.60134	57.83438	46.20045	78.96293	85.66999	46.20045	41.17707	17.50608	76.0315	9.70329	83.8564	-	0.62765	60.90009	47.94989	83.0089	88.71402	47.94989	43.73317	18.17146	80.54721	9.9327	87.3861	0.57887	55.2153	44.70588	75.50641	83.06944	44.70588	38.99337	16.93764	72.17367	9.5073	80.84093																																																																																																																									
228- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_p[0.3]+mp_bC[0.1] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_231450	149.2Sec	0.60132	57.83144	46.19568	78.97248	85.66045	46.19568	41.1723	17.50799	76.04104	9.70281	83.84924	-	0.62757	60.89155	47.92918	83.02961	88.71402	47.92918	43.71247	18.17561	80.56792	9.9327	87.3861	0.57889	55.21715	44.71473	75.50641	83.05175	44.71473	39.00221	16.93764	72.17367	9.50641	80.82766																																																																																																																									
229- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_p[0.4]+mp_bC[0.1] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_231720	151.6Sec	0.60128	57.82715	46.18614	78.97248	85.66999	46.18614	41.16276	17.50799	76.04104	9.70376	83.85878	-	0.62754	60.8881	47.91882	83.02961	88.72437	47.91882	43.70211	18.17561	80.56792	9.93373	87.39646	0.57884	55.21215	44.70588	75.50641	83.06059	44.70588	38.99337	16.93764	72.17367	9.5073	80.8365																																																																																																																									
230- (bTDmL - bTDmL+c[1.0]+p[0.7]+bC[0.4]+cC[0.4]+mp_p[0.5]+mp_bC[0.1] - w__+TF_F_T+IDF_fre+pri+tL_b+r2+ref_1011 - mulP) - 20170920_231953	133.5Sec	0.60126	57.82487	46.18137	78.97248	85.66522	46.18137	41.15799	17.50799	76.04104	9.70281	83.85242	-	0.62756	60.88951	47.91882	83.02961	88.72437	47.91882	43.70211	18.17561	80.56792	9.93373	87.39646	0.57879	55.20671	44.69704	75.50641	83.05175	44.69704	38.98452	16.93764	72.17367	9.50553	80.82471																																																																																																																									
